cod,nombre,prov,reg,sup,pobl,dens,idh
8102,Coronel,Concepción,Biobío,279.4,107508,384.8,682.0
8103,Chiguayante,Concepción,Biobío,71.5,115366,1613.5,764.0
8104,Florida,Concepción,Biobío,608.6,9867,16.2,604.0
8105,Hualqui,Concepción,Biobío,530.5,21934,41.3,666.0
8106,Lota,Concepción,Biobío,135.8,48045,353.8,643.0
8107,Penco,Concepción,Biobío,107.6,52389,486.9,689.0
8108,San Pedro de La Paz,Concepción,Biobío,112.5,94827,842.9,787.0
8109,Santa Juana,Concepción,Biobío,731.2,13331,18.2,626.0
8110,Talcahuano,Concepción,Biobío,92.3,171673,1859.9,731.0
8111,Tomé,Concepción,Biobío,494.5,55764,112.8,668.0
8112,Hualpén,Concepción,Biobío,53.5,86176,1610.8,
8201,Lebu,Arauco,Biobío,561.4,25790,45.9,633.0
8202,Arauco,Arauco,Biobío,956.1,41153,43.0,704.0
8203,Cañete,Arauco,Biobío,1089.2,33535,30.8,641.0
8204,Contulmo,Arauco,Biobío,638.8,5188,8.1,603.0
8205,Curanilahue,Arauco,Biobío,994.3,33855,31.0,643.0
8206,Los Álamos,Arauco,Biobío,599.1,20723,34.6,645.0
8207,Tirúa,Arauco,Biobío,624.4,10859,17.4,584.0
8301,Los Ángeles,Biobío,Biobío,1748.2,195813,112.0,696.0
8302,Antuco,Biobío,Biobío,1884.1,3774,2.0,662.0
8303,Cabrero,Biobío,Biobío,639.8,29532,46.2,635.0
8304,Laja,Biobío,Biobío,339.8,20964,61.7,665.0
8305,Mulchén,Biobío,Biobío,1925.3,28517,14.8,639.0
8306,Nacimiento,Biobío,Biobío,934.9,26145,28.0,656.0
8307,Negrete,Biobío,Biobío,156.5,8933,57.1,629.0
8308,Quilaco,Biobío,Biobío,1123.7,3722,3.3,635.0
8309,Quilleco,Biobío,Biobío,1121.8,10396,9.3,641.0
8310,San Rosendo,Biobío,Biobío,92.4,3627,39.3,647.0
8311,Santa Bárbara,Biobío,Biobío,1254.9,14612,11.6,637.0
8312,Tucapel,Biobío,Biobío,914.9,13442,14.7,655.0
8313,Yumbel,Biobío,Biobío,727.0,20572,28.3,597.0
8314,Alto Biobío,Biobío,Biobío,2124.6,10039,4.7,
9101,Temuco,Cautín,La Araucanía,464.0,269992,8039.0,763.0
9102,Carahue,Cautín,La Araucanía,1340.6,25718,19.2,604.0
9103,Cunco,Cautín,La Araucanía,1906.5,19024,10.0,659.0
9104,Curarrehue,Cautín,La Araucanía,1170.7,7540,6.4,603.0
9105,Freire,Cautín,La Araucanía,935.2,27616,29.5,614.0
9106,Galvarino,Cautín,La Araucanía,568.2,11324,19.9,611.0
9107,Gorbea,Cautín,La Araucanía,694.5,15481,22.3,644.0
9108,Lautaro,Cautín,La Araucanía,901.1,35451,39.3,669.0
9109,Loncoche,Cautín,La Araucanía,976.8,22191,22.7,652.0
9110,Melipeuco,Cautín,La Araucanía,1107.3,5451,4.9,629.0
9111,Nueva Imperial,Cautín,La Araucanía,732.5,32109,43.8,629.0
9112,Padre Las Casas,Cautín,La Araucanía,400.7,72135,180.0,662.0
9113,Perquenco,Cautín,La Araucanía,330.7,6911,20.9,0.63
9114,Pitrufquén,Cautín,La Araucanía,580.7,23776,40.9,663.0
9115,Pucón,Cautín,La Araucanía,1248.5,29987,24.0,767.0
9116,Saavedra,Cautín,La Araucanía,400.8,13481,33.6,574.0
9117,Teodoro Schmidt,Cautín,La Araucanía,649.9,15793,24.3,607.0
9118,Toltén,Cautín,La Araucanía,860.4,10403,12.1,617.0
9119,Vilcún,Cautín,La Araucanía,1420.9,23823,16.8,643.0
9120,Villarrica,Cautín,La Araucanía,1291.1,56178,43.5,698.0
9121,Cholchol,Cautín,La Araucanía,427.9,10825,25.3,
9201,Angol,Malleco,La Araucanía,1194.4,51136,42.8,707.0
9202,Collipulli,Malleco,La Araucanía,1295.9,21705,16.7,633.0
9203,Curacautín,Malleco,La Araucanía,1664.0,15728,9.5,657.0
9204,Ercilla,Malleco,La Araucanía,499.7,9148,18.3,609.0
9205,Lonquimay,Malleco,La Araucanía,3914.2,11341,2.9,629.0
9206,Los Sauces,Malleco,La Araucanía,849.8,6490,7.6,602.0
9207,Lumaco,Malleco,La Araucanía,1119.0,10479,9.4,603.0
9208,Purén,Malleco,La Araucanía,464.9,11789,25.4,594.0
9209,Renaico,Malleco,La Araucanía,267.4,9028,33.8,615.0
9210,Traiguén,Malleco,La Araucanía,908.0,18357,20.2,657.0
9211,Victoria,Malleco,La Araucanía,1256.0,33127,26.4,686.0
14101,Valdivia,Valdivia,Los Ríos,1016.0,163148,138.4,754.0
14102,Corral,Valdivia,Los Ríos,767.0,5084,7.1,658.0
14103,Lanco,Valdivia,Los Ríos,532.4,16663,28.4,648.0
14104,Los Lagos,Valdivia,Los Ríos,1791.2,18733,11.3,658.0
14105,Máfil,Valdivia,Los Ríos,583.0,7006,12.3,655.0
14106,Mariquina,Valdivia,Los Ríos,1320.5,19823,15.1,653.0
14107,Paillaco,Valdivia,Los Ríos,896.0,19898,22.0,647.0
14108,Panguipulli,Valdivia,Los Ríos,3292.0,35185,10.1,627.0
14201,La Unión,Ranco,Los Ríos,2137.0,38544,18.4,687.0
14202,Futrono,Ranco,Los Ríos,2267.5,15811,6.6,637.0
14203,Lago Ranco,Ranco,Los Ríos,1763.3,9380,5.7,606.0
14204,Río Bueno,Ranco,Los Ríos,2211.7,31343,15.5,624.0
10101,Puerto Montt,Llanquihue,Los Lagos,1673.0,248945,142.5,718.0
10102,Calbuco,Llanquihue,Los Lagos,590.8,34902,59.1,642.0
10103,Cochamó,Llanquihue,Los Lagos,3910.8,4326,1.1,0.69
10104,Fresia,Llanquihue,Los Lagos,1278.1,12454,9.7,657.0
10105,Frutillar,Llanquihue,Los Lagos,831.4,17756,21.4,669.0
10106,Los Muermos,Llanquihue,Los Lagos,1245.8,16522,13.3,648.0
10107,Llanquihue,Llanquihue,Los Lagos,420.8,18151,43.1,695.0
10108,Maullín,Llanquihue,Los Lagos,860.8,13914,16.2,691.0
10109,Puerto Varas,Llanquihue,Los Lagos,4064.9,39414,9.7,748.0
10201,Castro,Chiloé,Los Lagos,472.5,50764,107.4,0.72
10202,Ancud,Chiloé,Los Lagos,1752.4,41960,23.9,705.0
10203,Chonchi,Chiloé,Los Lagos,1362.1,14639,10.7,641.0
10204,Curaco de Vélez,Chiloé,Los Lagos,80.0,3884,48.6,702.0
10205,Dalcahue,Chiloé,Los Lagos,1239.4,14548,11.7,0.69
10206,Puqueldón,Chiloé,Los Lagos,97.3,4097,42.1,628.0
10207,Queilén,Chiloé,Los Lagos,332.9,5319,16.0,646.0
10208,Quellón,Chiloé,Los Lagos,3244.0,30964,9.5,0.67
10209,Quemchi,Chiloé,Los Lagos,440.3,9191,20.9,656.0
10210,Quinchao,Chiloé,Los Lagos,160.7,9043,56.3,648.0
10301,Osorno,Osorno,Los Lagos,951.0,153797,152.9,0.7
10302,Puerto Octay,Osorno,Los Lagos,1795.7,9480,5.3,679.0
10303,Purranque,Osorno,Los Lagos,1458.8,20768,14.2,627.0
10304,Puyehue,Osorno,Los Lagos,1597.9,11370,7.1,675.0
10305,Río Negro,Osorno,Los Lagos,1265.7,13425,10.6,633.0
10306,San Juan de la Costa,Osorno,Los Lagos,1517.0,7997,5.3,0.51
10307,San Pablo,Osorno,Los Lagos,637.3,9150,14.4,625.0
10401,Chaitén,Palena,Los Lagos,8470.5,7122,0.8,704.0
10402,Futaleufú,Palena,Los Lagos,1280.0,1836,1.4,665.0
10403,Hualaihué,Palena,Los Lagos,2787.7,8426,3.0,659.0
10404,Palena,Palena,Los Lagos,2763.7,1665,0.6,667.0
11101,Coyhaique,Coyhaique,Aysén del Gral. C. Ibáñez del Campo,7290.2,59221,6.8,751.0
11102,Lago Verde,Coyhaique,Aysén del Gral. C. Ibáñez del Campo,5422.3,925,0.2,637.0
11201,Aysén,Aysén,Aysén del Gral. C. Ibáñez del Campo,29796.4,27187,0.9,674.0
11202,Cisnes,Aysén,Aysén del Gral. C. Ibáñez del Campo,16093.0,6166,0.3,725.0
11203,Guaitecas,Aysén,Aysén del Gral. C. Ibáñez del Campo,620.6,1862,2.4,654.0
11301,Cochrane,Capitán Prat,Aysén del Gral. C. Ibáñez del Campo,8599.5,2759,0.3,668.0
11302,O'Higgins,Capitán Prat,Aysén del Gral. C. Ibáñez del Campo,8182.5,700,0.1,572.0
11303,Tortel,Capitán Prat,Aysén del Gral. C. Ibáñez del Campo,19710.6,531,0.0,655.0
11401,Chile Chico,General Carrera,Aysén del Gral. C. Ibáñez del Campo,5737.1,5334,0.8,707.0
11402,Río Ibáñez,General Carrera,Aysén del Gral. C. Ibáñez del Campo,5997.2,2208,0.4,654.0
12101,Punta Arenas,Magallanes,Magallanes y Antártica Chilena,17846.3,125483,6.8,748.0
12102,Laguna Blanca,Magallanes,Magallanes y Antártica Chilena,3695.6,631,0.0,785.0
12103,Río Verde,Magallanes,Magallanes y Antártica Chilena,17248.0,363,0.0,784.0
12104,San Gregorio,Magallanes,Magallanes y Antártica Chilena,6883.7,731,0.1,823.0
12201,Cabo de Hornos,Antártica Chilena,Magallanes y Antártica Chilena,15578.7,1677,0.1,806.0
12202,Antártica,Antártica Chilena,Magallanes y Antártica Chilena,1250257.6,127,0.0,
12301,Porvenir,Tierra del Fuego,Magallanes y Antártica Chilena,9707.4,5650,0.8,731.0
12302,Primavera,Tierra del Fuego,Magallanes y Antártica Chilena,4253.4,803,0.2,774.0
12303,Timaukel,Tierra del Fuego,Magallanes y Antártica Chilena,10758.9,873,0.1,717.0
12401,Natales,Última Esperanza,Magallanes y Antártica Chilena,49924.1,21327,0.4,699.0
12402,Torres del Paine,Última Esperanza,Magallanes y Antártica Chilena,6630.0,1163,0.1,0.73
13101,Santiago,Santiago,Metropolitana de Santiago,22.0,237369,8654.8,807.0
13102,Cerrillos,Santiago,Metropolitana de Santiago,21.0,79195,3422.1,743.0
13103,Cerro Navia,Santiago,Metropolitana de Santiago,11.0,128090,13361.4,683.0
13104,Conchalí,Santiago,Metropolitana de Santiago,10.7,121118,11229.0,707.0
13105,El Bosque,Santiago,Metropolitana de Santiago,14.2,162671,12365.0,711.0
13106,Estación Central,Santiago,Metropolitana de Santiago,15.0,119292,8601.5,735.0
13107,Huechuraba,Santiago,Metropolitana de Santiago,44.8,87667,1886.6,737.0
13108,Independencia,Santiago,Metropolitana de Santiago,7.0,73874,9354.1,709.0
13109,La Cisterna,Santiago,Metropolitana de Santiago,10.0,80910,8511.8,775.0
13110,La Florida,Santiago,Metropolitana de Santiago,70.2,397497,5209.0,804.0
13111,La Granja,Santiago,Metropolitana de Santiago,10.0,121214,13252.0,689.0
13112,La Pintana,Santiago,Metropolitana de Santiago,30.6,202146,8511.8,679.0
13113,La Reina,Santiago,Metropolitana de Santiago,23.0,91927,9618.3,883.0
13114,Las Condes,Santiago,Metropolitana de Santiago,99.0,289949,2524.2,933.0
13115,Lo Barnechea,Santiago,Metropolitana de Santiago,1024.0,97230,73.0,912.0
13116,Lo Espejo,Santiago,Metropolitana de Santiago,7.0,99527,15667.0,657.0
13117,Lo Prado,Santiago,Metropolitana de Santiago,7.0,94766,13100.4,715.0
13118,Macul,Santiago,Metropolitana de Santiago,12.9,111436,8656.5,806.0
13119,Maipú,Santiago,Metropolitana de Santiago,135.5,805000,3876.2,902.0
13120,Ñuñoa,Santiago,Metropolitana de Santiago,16.9,195410,8937.5,0.86
13121,Pedro Aguirre Cerda,Santiago,Metropolitana de Santiago,10.0,104018,11456.0,708.0
13122,Peñalolén,Santiago,Metropolitana de Santiago,54.0,249621,4001.1,743.0
13123,Providencia,Santiago,Metropolitana de Santiago,14.3,126487,8429.1,911.0
13124,Pudahuel,Santiago,Metropolitana de Santiago,197.0,225509,993.7,735.0
13125,Quilicura,Santiago,Metropolitana de Santiago,58.0,203946,3486.6,782.0
13126,Quinta Normal,Santiago,Metropolitana de Santiago,13.0,101737,8388.0,723.0
13127,Recoleta,Santiago,Metropolitana de Santiago,16.0,152985,9273.8,697.0
13128,Renca,Santiago,Metropolitana de Santiago,24.0,142136,8388.1,709.0
13129,San Joaquín,Santiago,Metropolitana de Santiago,9.7,94255,10064.4,719.0
13130,San Miguel,Santiago,Metropolitana de Santiago,10.0,90846,7787.2,765.0
13131,San Ramón,Santiago,Metropolitana de Santiago,7.0,85195,14600.9,679.0
13132,Vitacura,Santiago,Metropolitana de Santiago,28.3,84195,2910.7,949.0
13201,Puente Alto,Cordillera,Metropolitana de Santiago,88.0,757721,6664.8,773.0
13202,Pirque,Cordillera,Metropolitana de Santiago,445.3,20732,37.2,807.0
13203,San José de Maipo,Cordillera,Metropolitana de Santiago,4994.8,14455,0.3,759.0
13301,Colina,Chacabuco,Metropolitana de Santiago,971.2,113340,80.1,726.0
13302,Lampa,Chacabuco,Metropolitana de Santiago,452.0,79421,89.9,697.0
13303,Til Til,Chacabuco,Metropolitana de Santiago,653.0,16405,22.6,706.0
13401,San Bernardo,Maipo,Metropolitana de Santiago,155.0,277802,1974.0,712.0
13402,Buin,Maipo,Metropolitana de Santiago,214.0,74232,296.2,731.0
13403,Calera de Tango,Maipo,Metropolitana de Santiago,73.3,27781,782.6,792.0
13404,Paine,Maipo,Metropolitana de Santiago,820.0,6612,73.7,718.0
13501,Melipilla,Melipilla,Metropolitana de Santiago,1345.0,107698,70.3,735.0
13502,Alhué,Melipilla,Metropolitana de Santiago,845.0,4646,5.2,0.7
13503,Curacaví,Melipilla,Metropolitana de Santiago,693.0,28439,35.1,0.71
13504,María Pinto,Melipilla,Metropolitana de Santiago,393.5,12501,115.6,698.0
13505,San Pedro,Melipilla,Metropolitana de Santiago,788.0,8062,9.6,701.0
13601,Talagante,Talagante,Metropolitana de Santiago,126.0,78887,474.6,749.0
13602,El Monte,Talagante,Metropolitana de Santiago,118.0,32468,224.2,688.0
13603,Isla de Maipo,Talagante,Metropolitana de Santiago,189.0,33723,136.5,724.0
13604,Padre Hurtado,Talagante,Metropolitana de Santiago,80.8,50696,626.2,728.0
13605,Peñaflor,Talagante,Metropolitana de Santiago,69.0,87741,965.5,753.0
